blend,Hemg_test_EER_%,Hemg_test_AUROC
0.5·W2V2 + 0.5·Haiku,38.0,0.6144
0.7·W2V2 + 0.3·Codex,40.0,0.5791999999999999
0.3·W2V2 + 0.7·Haiku,42.0,0.5743999999999999
0.3·W2V2 + 0.7·mean(LLM3),43.99999999999999,0.5728
0.5·W2V2 + 0.5·mean(LLM3),43.99999999999999,0.5728
0.7·W2V2 + 0.3·mean(LLM3),43.99999999999999,0.5968
0.7·W2V2 + 0.3·Haiku,46.0,0.6144000000000001
0.5·W2V2 + 0.5·Opus,46.0,0.5376000000000001
0.3·W2V2 + 0.7·Codex,46.0,0.5551999999999999
0.5·W2V2 + 0.5·Codex,46.0,0.5648000000000001
0.3·W2V2 + 0.7·Opus,48.0,0.49119999999999997
0.7·W2V2 + 0.3·Opus,48.0,0.536
